
Cherokee, NC
Number of Stations = 105


Code 	Short Name                	Long Name                                         	# Stns	# Obs 	First Date	Last Date 	Min Value   	Max Value   	   Average
-----	--------------------------	--------------------------------------------------	------	------	----------	----------	------------	------------	----------
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	21    	3962  	1966-05-02	1996-10-30	  2.00E+00  	  9.80E+01  	  5.05E+01
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	21    	326   	1973-06-01	1997-08-13	   .00E+00  	  9.99E+03  	  1.39E+04
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	37    	34306 	1961-10-02	1997-11-17	  1.00E+01  	 -7.00E+03  	  1.68E+01
00019	SAMPLE   WEIGHT   GRAMS   	SAMPLE WEIGHT IN GRAMS                            	3     	29    	1988-11-15	1993-10-21	  1.01E+03  	  9.71E+02  	  9.77E+02
00034	DEPTH-FT 1% LIGHT REMAINS 	DEPTH IN FEET AT WHICH 1% SURFACE LIGHT REMAINS   	2     	17    	1992-05-14	1992-05-14	  2.20E+01  	  2.60E+01  	  2.34E+01
00039	SAMPLE   LENGTH   MM      	SAMPLE LENGTH IN MILLIMETERS                      	3     	29    	1988-11-15	1993-10-21	  3.28E+02  	  5.91E+02  	  4.52E+02
00060	STREAM   FLOW     CFS     	FLOW, STREAM, MEAN DAILY                       CFS	1     	20    	1991-04-24	1993-09-16	  1.51E+02  	  6.66E+02  	  1.99E+03
00061	STREAM   FLOW,    INST-CFS	FLOW, STREAM, INSTANTANEOUS                    CFS	5     	9200  	1966-05-02	1997-11-14	   .00E+00  	 -9.80E+02  	  2.49E+03
00062	WATER    SURF ELE IN FEET 	ELEVATION, RESERVOIR SURFACE WATER IN FEET        	1     	20    	1992-04-23	1994-10-18	  1.49E+03  	  1.52E+03  	  1.51E+03
00064	DEPTH OF STREAM   MEAN(FT)	DEPTH OF STREAM, MEAN (FT)                        	2     	5     	1985-03-20	1985-07-03	  3.20E-01  	  5.00E-01  	  3.56E-01
00070	TURB     JKSN     JTU     	TURBIDITY, (JACKSON CANDLE UNITS)                 	5     	125   	1966-05-02	1980-06-10	  1.00E+01  	  9.40E+00  	  5.29E+00
00074	TURB     TRANS    %       	TURBIDITY, TRANSMISSOMETER, PERCENT TRANSMISSION  	6     	125   	1973-06-01	1973-10-26	  1.10E+01  	  9.80E+01  	  8.38E+01
00077	TRANSP   SECCHI   INCHES  	TRANSPARENCY, SECCHI DISC (INCHES)                	6     	18    	1973-06-01	1973-10-26	  1.08E+02  	  7.80E+01  	  7.94E+01
00078	TRANSP   SECCHI   METERS  	TRANSPARENCY, SECCHI DISC (METERS)                	12    	141   	1984-11-20	1997-10-23	  1.00E+00  	  9.00E-01  	  3.44E+00
00080	COLOR    PT-CO    UNITS   	COLOR (PLATINUM-COBALT UNITS)                     	15    	161   	1966-05-02	1989-09-28	  1.00E+01  	  9.00E+00  	  7.70E+00
00081	AP COLOR PT-CO    UNITS   	COLOR,APPARENT(UNFILTERED SAMPLE) PLAT-COB UNITS  	9     	113   	1974-01-30	1989-09-28	  1.00E+01  	  9.00E+00  	  1.34E+01
00085	ODOR     THRSH NO RM. TEMP	ODOR (THRESHOLD NUMBER AT ROOM TEMPERATURE)       	2     	16    	1966-05-02	1967-02-02	  1.00E+00  	  1.00E+00  	  1.00E+00
00090	REDOX    ORP      MV      	OXIDATION REDUCTION POTENTIAL (MILLIVOLTS)        	7     	1737  	1991-08-14	1996-08-15	  3.10E+01  	  7.17E+02  	  5.31E+02
00094	CNDUCTVY FIELD    MICROMHO	SPECIFIC CONDUCTANCE,FIELD (UMHOS/CM @ 25C)       	24    	14351 	1973-08-22	1997-10-23	  1.00E+02  	  9.99E+01  	  5.03E+01
00095	CNDUCTVY AT 25C   MICROMHO	SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)             	27    	1476  	1966-05-02	1989-09-28	   .00E+00  	  9.60E+01  	  1.96E+01
00098	VSAMPLOC DEPTH    METERS  	SAMPLING STATION LOCATION  VERTICAL (METERS)      	16    	2742  	1978-01-10	1986-09-24	  1.00E+01  	  9.80E+00  	  2.07E+01
00154	SULFATE  (AS S)   MG/L    	SULFATE (AS S) WHOLE     WATER, MG/L              	2     	2     	1984-11-20	1984-11-20	  1.66E+00  	  1.67E+00  	  1.67E+00
00299	DO       PROBE    MG/L    	OXYGEN ,DISSOLVED, ANALYSIS BY PROBE          MG/L	2     	5     	1985-03-20	1985-07-03	  1.02E+01  	  9.50E+00  	  9.24E+00
00300	DO        MG/L            	OXYGEN, DISSOLVED                             MG/L	33    	34016 	1961-10-02	1997-11-17	   .00E+00  	  1.00E+05  	  1.23E+01
00301	DO       SATUR    PERCENT 	OXYGEN, DISSOLVED, PERCENT OF SATURATION         %	35    	33997 	1961-10-02	1997-11-17	   .00E+00  	  9.99E+01  	  1.28E+02
00310	BOD      5 DAY    MG/L    	BOD, 5 DAY, 20 DEG C                          MG/L	5     	68    	1966-05-02	1980-06-10	  1.00E+00  	  4.20E+00  	  1.18E+00
00335	COD      LOWLEVEL MG/L    	COD, .025N K2CR2O7                            MG/L	3     	65    	1967-02-02	1979-01-16	  1.00E+01  	  9.00E+00  	  4.89E+00
00339	COD MUD  DRY WGT  MG/KG   	COD, BOTTOM DEPOSITS, DRY WEIGHT             MG/KG	1     	1     	1973-06-22	1973-06-22	  4.60E+03  	  4.60E+03  	  4.60E+03
00400	PH        SU              	PH (STANDARD UNITS)                               	32    	10582 	1966-05-02	1997-10-23	  3.70E+00  	  9.50E+00  	  6.34E+00
00403	PH       LAB      SU      	PH, LAB, STANDARD UNITS                         SU	10    	53    	1982-10-21	1989-09-28	  6.33E+00  	  7.27E+00  	  6.88E+00
00409	TOT  ALK GRAN     UEQ/L   	ALKALINITY,TOTAL,LOW LEVEL GRAN ANALYSIS     UEQ/L	9     	56    	1984-11-20	1989-09-28	  1.00E+02  	  7.81E+01  	  1.42E+02
00410	T ALK    CACO3    MG/L    	ALKALINITY, TOTAL (MG/L AS CACO3)                 	13    	267   	1966-05-02	1983-04-18	  1.00E+01  	  9.00E+00  	  9.57E+00
00413	TOT ALK  GRAN     MG/L    	ALKALINITY,TOTAL,LOW LEVEL GRAN ANAL   MG/L(CAC03)	2     	8     	1993-08-11	1993-09-16	  1.30E-01  	  2.60E-01  	  1.84E-01
00415	PHEN-PH- LFIN ALK MG/L    	ALKALINITY, PHENOLPHTHALEIN (MG/L)                	5     	134   	1966-05-02	1980-06-10	   .00E+00  	   .00E+00  	   .00E+00
00431	T ALK    FIELD    MG/L    	ALKALINITY TOATL FIELD, (MG/L AS CACO3)           	2     	3     	1982-10-21	1983-04-18	  7.00E+00  	  7.50E+00  	  7.23E+00
00435	T ACDITY CACO3    MG/L    	ACIDITY, TOTAL (MG/L AS CACO3)                    	2     	2     	1982-10-21	1982-10-22	  8.00E+00  	  9.00E+00  	  8.50E+00
00440	HCO3 ION HCO3     MG/L    	BICARBONATE ION (MG/L AS HCO3)                    	2     	5     	1985-03-20	1985-07-03	  1.09E+01  	  3.46E+00  	  1.10E+01
00500	RESIDUE  TOTAL    MG/L    	RESIDUE, TOTAL (MG/L)                             	2     	13    	1966-05-02	1967-02-02	  2.00E+01  	  5.00E+01  	  3.31E+01
