Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
21NC37GW	NA2190         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.966667	-77.783333                               	 430000E-4  	 	03020101	72001	1982-08-10	      2500	          	        	          43	        	                	  	                     	B 	                                                            	
21NC37GW	NA2192         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	     35.95	-77.916667                               	 450000E-4  	 	03020101	72001	1982-05-28	      2500	          	        	          45	        	                	  	                     	B 	                                                            	
21NC37GW	NA2193         	MIDDLESEX / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.783333	-78.183333                               	 470000E-4  	 	03020203	72001	1982-03-25	      2500	          	        	          47	        	                	  	                     	B 	                                                            	
21NC37GW	NA2194         	SR 1954 / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 35.816667	-78.05                                   	 107000E-3  	 	03020203	72001	1982-10-05	      2500	          	        	         107	        	                	  	                     	B 	                                                            	
21NC37GW	NA2195         	SR 1524 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	        36	-77.833333                               	 353000E-3  	 	03020101	72001	1982-04-28	      2500	          	        	         353	        	                	  	                     	B 	                                                            	
21NC37GW	NA2196         	SR 1604 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	        36	-77.883333                               	 126000E-3  	 	03020101	72001	1982-10-05	      2500	          	        	         126	        	                	  	                     	B 	                                                            	
21NC37GW	NA2197         	SR 1152 / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 35.866667	-78.2                                    	 210000E-3  	 	03020203	72001	1982-10-05	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	NA2198         	SR 1416 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	 36.066667	-77.966667                               	 133000E-3  	 	03020101	72001	1982-05-04	      2500	          	        	         133	        	                	  	                     	B 	                                                            	
21NC37GW	NA2199         	SIMS / SOUTHEAST / TAR                                                                                                                                                        	NC DE&NR                 	North Carolina                	Nash                          	 35.976389	-78.083333                               	 590000E-4  	 	03020101	72001	1982-10-30	      2500	          	        	          59	        	                	  	                     	B 	                                                            	
21NC37GW	NA2200         	SR 1411 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	   36.0625	-78.001389                               	 107000E-3  	 	03020101	72001	1982-06-22	      2500	          	        	         107	        	                	  	                     	B 	                                                            	
21NC37GW	NA2201         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 36.033333	-77.783333                               	 230000E-3  	 	03020101	72001	1982-07-03	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	NA2202         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 35.866667	-77.95                                   	 148000E-3  	 	03020101	72001	1982-06-29	      2500	          	        	         148	        	                	  	                     	B 	                                                            	
21NC37GW	NA2204         	MIDDLESEX / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.833333	-78.166667                               	 230000E-3  	 	03020203	72001	1982-04-13	      2500	          	        	         230	        	                	  	                     	B 	                                                            	
21NC37GW	NA2206         	GOLD ROCK / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 36.083333	-77.75                                   	 210000E-3  	 	03020101	72001	1982-05-25	      2500	          	        	         210	        	                	  	                     	B 	                                                            	
21NC37GW	NA2207         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	        36	-77.916667                               	 272000E-3  	 	03020101	72001	1982-06-28	      2500	          	        	         272	        	                	  	                     	B 	                                                            	
21NC37GW	NA2215         	SPRING HOPE / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	        36	-78.133333                               	 292000E-3  	 	03020101	72001	1982-05-26	      2500	          	        	         292	        	                	  	                     	B 	                                                            	
21NC37GW	NA2216         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	     36.05	-77.966667                               	 168000E-3  	 	03020101	72001	1982-06-11	      2500	          	        	         168	        	                	  	                     	B 	                                                            	
21NC37GW	NA2217         	SR 231 / SOUTHEAST / NEUSE                                                                                                                                                    	NC DE&NR                 	North Carolina                	Nash                          	 35.833333	-78.233333                               	 127000E-3  	 	03020203	72001	1982-08-30	      2500	          	        	         127	        	                	  	                     	B 	                                                            	
21NC37GW	NA2218         	SR 1305 / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	 35.994444	-78.080556                               	 250000E-3  	 	03020101	72001	1982-11-18	      2500	          	        	         250	        	                	  	                     	B 	                                                            	
21NC37GW	NA2219         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 36.006944	-77.855556                               	 127000E-3  	 	03020101	72001	1982-07-23	      2500	          	        	         127	        	                	  	                     	B 	                                                            	
21NC37GW	NA2220         	SPRING HOPE / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	     35.85	-78                                      	 312000E-3  	 	03020101	72001	1982-05-24	      2500	          	        	         312	        	                	  	                     	B 	                                                            	
21NC37GW	NA2221         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	        36	-77.833333                               	 127000E-3  	 	03020101	72001	1982-08-11	      2500	          	        	         127	        	                	  	                     	B 	                                                            	
21NC37GW	NA2222         	ZEBULON / SOUTHEAST / NEUSE                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	     35.85	-78.183333                               	 107000E-3  	 	03020203	72001	1982-08-30	      2500	          	        	         107	        	                	  	                     	B 	                                                            	
21NC37GW	NA2199         	SIMS / SOUTHEAST / TAR                                                                                                                                                        	NC DE&NR                 	North Carolina                	Nash                          	 35.976389	-78.083333                               	 580000E-4  	 	03020101	72002	1982-10-30	      2500	          	        	          59	        	                	  	                     	B 	                                                            	
21NC37GW	NA2199         	SIMS / SOUTHEAST / TAR                                                                                                                                                        	NC DE&NR                 	North Carolina                	Nash                          	 35.976389	-78.083333                               	 580000E-4  	 	03020101	72003	1982-10-30	      2500	          	        	          59	        	                	  	                     	B 	                                                            	
21NC37GW	NA1210         	RED OAK SR #1603 & 1604 / SOUTHEAST / TAR                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	 36.009444	-77.903056                               	 355000E-4  	 	03020101	72008	1974-01-09	      2500	          	        	          35	        	                	  	                     	B 	                                                            	
21NC37GW	NA2162         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	        36	-77.75                                   	 520000E-4  	 	03020101	72008	1981-12-01	      2500	          	        	          52	        	                	  	                     	B 	                                                            	
21NC37GW	NA2163         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	     35.85	-77.916667                               	 390000E-4  	 	03020101	72008	1981-10-14	      2500	          	        	          39	        	                	  	                     	B 	                                                            	
21NC37GW	NA2164         	STAN HOPE / SOUTHEAST / NEUSE                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.833333	-78.083333                               	 400000E-4  	 	03020203	72008	1982-02-01	      2500	          	        	          40	        	                	  	                     	B 	                                                            	
21NC37GW	NA2165         	ROCKY MOUNT / SOUTHEAST / TAR                                                                                                                                                 	NC DE&NR                 	North Carolina                	Nash                          	 35.916667	-77.9                                    	 500000E-4  	 	03020101	72008	1982-01-30	      2500	          	        	          50	        	                	  	                     	B 	                                                            	
21NC37GW	NA2166         	RED OAK / SOUTHEAST / TAR                                                                                                                                                     	NC DE&NR                 	North Carolina                	Nash                          	      36.1	-77.916667                               	 430000E-4  	 	03020101	72008	1981-11-16	      2500	          	        	          43	        	                	  	                     	B 	                                                            	
21NC37GW	NA2167         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	 35.916667	-78                                      	 480000E-4  	 	03020101	72008	1982-02-04	      2500	          	        	          48	        	                	  	                     	B 	                                                            	
21NC37GW	NA2168         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	        36	-78                                      	 480000E-4  	 	03020101	72008	1982-03-10	      2500	          	        	          48	        	                	  	                     	B 	                                                            	
21NC37GW	NA2169         	NASHVILLE / SOUTHEAST / TAR                                                                                                                                                   	NC DE&NR                 	North Carolina                	Nash                          	      35.9	-77.883333                               	 250000E-3  	 	03020101	72008	1981-01-08	      2500	          	        	         250	        	                	  	                     	B 	                                                            	
