Agency  	Station        	Station Name                                                                                                                                                                  	Agency Name              	State Name                    	County Name                   	  Latitude	Longitude                                	Result Value	R	HUC     	Param	Start Date	Start Time	End Date  	End Time	Sample Depth	UMK     	Replicate Number	CS	COMPOSITE_GRAB_NUMBER	CM	Primary Activity Category                                   	Secondary Activity Category
121WILEN	NH-6           	   CHATHAM CO 1726 @ MORGAN CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.860639	-79.009611                               	 270000E-2  	 	03030002	31501	1975-08-24	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	NH-6           	   CHATHAM CO 1726 @ MORGAN CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.860639	-79.009611                               	 320000E-1  	 	03030002	31501	1975-09-24	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	NH-6           	   CHATHAM CO 1726 @ MORGAN CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.860639	-79.009611                               	 200000E-2  	 	03030002	31501	1975-10-22	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	NH-6           	   CHATHAM CO 1726 @ MORGAN CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.860639	-79.009611                               	 730000E-2  	 	03030002	31501	1975-11-19	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	NH-6           	   CHATHAM CO 1726 @ MORGAN CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.860639	-79.009611                               	 330000E-2  	 	03030002	31501	1975-12-16	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	NH-6           	   CHATHAM CO 1726 @ MORGAN CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.860639	-79.009611                               	 200000E-2  	 	03030002	31501	1976-01-15	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	NH-6           	   CHATHAM CO 1726 @ MORGAN CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.860639	-79.009611                               	 340000E-1  	 	03030002	31501	1976-02-25	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	NH-6           	   CHATHAM CO 1726 @ MORGAN CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.860639	-79.009611                               	 360000E-1  	 	03030002	31501	1976-03-25	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	NH-6           	   CHATHAM CO 1726 @ MORGAN CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.860639	-79.009611                               	 200000E+0  	 	03030002	31501	1976-04-28	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
121WILEN	NH-6           	   CHATHAM CO 1726 @ MORGAN CRK SEE#5 / SOUTHEAST / CAPE FEAR RIVER                                                                                                           	CORPS OF ENGINEERS       	North Carolina                	Chatham                       	 35.860639	-79.009611                               	 280000E+0  	 	03030002	31501	1976-05-20	      2500	          	        	           0	        	                	  	                     	B 	                                                            	
